date,period_start,period_end,first_trade_date,last_trade_date,open,high,low,close,trading_days,is_partial,partial_reason,has_ohlc,source,history_kind
2001-04-12,2001-04-09,2001-04-15,2001-04-09,2001-04-12,1128.43,1183.51,1126.38,1183.50,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-04-20,2001-04-16,2001-04-22,2001-04-16,2001-04-20,1183.50,1253.71,1167.38,1242.98,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-04-27,2001-04-23,2001-04-29,2001-04-23,2001-04-27,1242.98,1253.07,1207.38,1253.05,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-05-04,2001-04-30,2001-05-06,2001-04-30,2001-05-04,1253.05,1272.93,1232.00,1266.61,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-05-11,2001-05-07,2001-05-13,2001-05-07,2001-05-11,1266.61,1270.00,1240.79,1245.67,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-05-18,2001-05-14,2001-05-20,2001-05-14,2001-05-18,1245.67,1296.48,1241.02,1291.96,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-05-25,2001-05-21,2001-05-27,2001-05-21,2001-05-25,1291.96,1315.93,1276.42,1277.89,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-06-01,2001-05-28,2001-06-03,2001-05-29,2001-06-01,1277.89,1278.42,1245.96,1260.67,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-06-08,2001-06-04,2001-06-10,2001-06-04,2001-06-08,1260.67,1286.62,1256.36,1264.96,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-06-15,2001-06-11,2001-06-17,2001-06-11,2001-06-15,1264.96,1264.96,1203.03,1214.36,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-06-22,2001-06-18,2001-06-24,2001-06-18,2001-06-22,1214.36,1240.24,1207.71,1225.35,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-06-29,2001-06-25,2001-07-01,2001-06-25,2001-06-29,1225.35,1237.29,1204.64,1224.38,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-07-06,2001-07-02,2001-07-08,2001-07-02,2001-07-06,1224.42,1239.78,1188.74,1190.59,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-07-13,2001-07-09,2001-07-15,2001-07-09,2001-07-13,1190.59,1218.54,1168.46,1215.68,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-07-20,2001-07-16,2001-07-22,2001-07-16,2001-07-20,1215.68,1225.04,1196.14,1210.85,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-07-27,2001-07-23,2001-07-29,2001-07-23,2001-07-27,1210.85,1215.22,1165.54,1205.82,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-08-03,2001-07-30,2001-08-05,2001-07-30,2001-08-03,1205.82,1226.27,1200.41,1214.35,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-08-10,2001-08-06,2001-08-12,2001-08-06,2001-08-10,1214.35,1214.35,1169.55,1190.16,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-08-17,2001-08-13,2001-08-19,2001-08-13,2001-08-17,1190.16,1198.79,1156.07,1161.97,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-08-24,2001-08-20,2001-08-26,2001-08-20,2001-08-24,1161.97,1185.15,1153.34,1184.93,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-08-31,2001-08-27,2001-09-02,2001-08-27,2001-08-31,1184.93,1186.85,1124.87,1133.58,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-09-07,2001-09-03,2001-09-09,2001-09-04,2001-09-07,1133.58,1155.40,1082.12,1085.78,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-09-10,2001-09-10,2001-09-16,2001-09-10,2001-09-10,1085.78,1096.94,1073.15,1092.54,1,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-09-21,2001-09-17,2001-09-23,2001-09-17,2001-09-21,1092.54,1092.54,944.75,965.80,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-09-28,2001-09-24,2001-09-30,2001-09-24,2001-09-28,965.80,1040.94,965.80,1040.94,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-10-05,2001-10-01,2001-10-07,2001-10-01,2001-10-05,1040.94,1084.12,1026.76,1071.38,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-10-12,2001-10-08,2001-10-14,2001-10-08,2001-10-12,1071.37,1099.16,1052.76,1091.65,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-10-19,2001-10-15,2001-10-21,2001-10-15,2001-10-19,1091.65,1107.12,1057.24,1073.48,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-10-26,2001-10-22,2001-10-28,2001-10-22,2001-10-26,1073.48,1110.61,1065.64,1104.61,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-11-02,2001-10-29,2001-11-04,2001-10-29,2001-11-02,1104.61,1104.61,1053.61,1087.20,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-11-09,2001-11-05,2001-11-11,2001-11-05,2001-11-09,1087.20,1135.75,1087.20,1120.31,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-11-16,2001-11-12,2001-11-18,2001-11-12,2001-11-16,1120.31,1148.28,1098.32,1138.65,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-11-23,2001-11-19,2001-11-25,2001-11-19,2001-11-23,1138.65,1152.45,1129.78,1150.34,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-11-30,2001-11-26,2001-12-02,2001-11-26,2001-11-30,1150.34,1163.38,1125.51,1139.45,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-12-07,2001-12-03,2001-12-09,2001-12-03,2001-12-07,1139.45,1173.62,1125.78,1158.31,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-12-14,2001-12-10,2001-12-16,2001-12-10,2001-12-14,1158.31,1158.31,1114.53,1123.09,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-12-21,2001-12-17,2001-12-23,2001-12-17,2001-12-21,1123.09,1152.44,1122.66,1144.89,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2001-12-28,2001-12-24,2001-12-30,2001-12-24,2001-12-28,1144.89,1164.64,1144.62,1161.02,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-01-04,2001-12-31,2002-01-06,2001-12-31,2002-01-04,1161.02,1176.55,1136.23,1172.51,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-01-11,2002-01-07,2002-01-13,2002-01-07,2002-01-11,1172.51,1176.97,1145.45,1145.60,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-01-18,2002-01-14,2002-01-20,2002-01-14,2002-01-18,1145.60,1148.81,1124.45,1127.58,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-01-25,2002-01-21,2002-01-27,2002-01-22,2002-01-25,1127.58,1139.50,1117.43,1133.28,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-02-01,2002-01-28,2002-02-03,2002-01-28,2002-02-01,1133.28,1138.63,1081.66,1122.20,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-02-08,2002-02-04,2002-02-10,2002-02-04,2002-02-08,1122.20,1122.20,1077.78,1096.22,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-02-15,2002-02-11,2002-02-17,2002-02-11,2002-02-15,1096.22,1124.72,1094.68,1104.18,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-02-22,2002-02-18,2002-02-24,2002-02-19,2002-02-22,1104.18,1104.18,1074.36,1089.84,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-03-01,2002-02-25,2002-03-03,2002-02-25,2002-03-01,1089.84,1131.79,1089.84,1131.78,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-03-08,2002-03-04,2002-03-10,2002-03-04,2002-03-08,1131.78,1172.76,1130.93,1164.31,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-03-15,2002-03-11,2002-03-17,2002-03-11,2002-03-15,1164.31,1173.03,1151.01,1166.16,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-03-22,2002-03-18,2002-03-24,2002-03-18,2002-03-22,1166.16,1173.94,1139.48,1148.70,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-03-28,2002-03-25,2002-03-31,2002-03-25,2002-03-28,1148.70,1154.45,1131.61,1147.39,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-04-05,2002-04-01,2002-04-07,2002-04-01,2002-04-05,1147.39,1147.84,1119.49,1122.73,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-04-12,2002-04-08,2002-04-14,2002-04-08,2002-04-12,1122.73,1131.76,1102.42,1111.01,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-04-19,2002-04-15,2002-04-21,2002-04-15,2002-04-19,1111.01,1133.00,1099.41,1125.17,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-04-26,2002-04-22,2002-04-28,2002-04-22,2002-04-26,1125.17,1125.17,1076.31,1076.32,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-05-03,2002-04-29,2002-05-05,2002-04-29,2002-05-03,1076.32,1091.42,1063.46,1073.43,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-05-10,2002-05-06,2002-05-12,2002-05-06,2002-05-10,1073.43,1088.92,1048.96,1054.99,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-05-17,2002-05-13,2002-05-19,2002-05-13,2002-05-17,1054.99,1106.59,1053.90,1106.59,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-05-24,2002-05-20,2002-05-26,2002-05-20,2002-05-24,1106.59,1106.59,1075.64,1083.82,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-05-31,2002-05-27,2002-06-02,2002-05-28,2002-05-31,1083.82,1085.98,1054.26,1067.14,4,False,,True,Yahoo Finance ^GSPC,正式推出後
